Country,agricultural rate,armed forces size,birth rate,CO2 emissions,CPI,Fertility rate,forested area,gasoline price,gross primary education,gross tertiary deucation,infant mortality,life expectancy,maternal mortality ratio,minimum wage,health expenditure,physician ratio,labor force participation,tax revenue,total tax rate,unemployment rate,GDP per Capita,urban population rate,label
Kyrgyzstan,0.55,21000.0,0.271,9787.0,155.68,0.033,0.033,0.56,1.076,0.413,16.9,71.4,60.0,0.09,0.48200000000000004,1.88,0.598,0.18,0.29,0.0633,1309.3929916833156,0.3659099567904103,0
Laos,0.10300000000000001,129000.0,0.23550000000000001,17763.0,135.87,0.0267,0.821,0.93,1.024,0.15,37.6,67.6,185.0,0.83,0.454,0.37,0.785,0.129,0.24100000000000002,0.0063,2534.8982772051713,0.3564499672569254,0
Latvia,0.311,6000.0,0.1,7004.0,116.86,0.016,0.54,1.16,0.9940000000000001,0.881,3.3,74.7,19.0,2.8,0.41600000000000004,3.19,0.614,0.22899999999999998,0.381,0.0652,17836.364886560932,0.6822200462256945,1
Lebanon,0.643,80000.0,0.17550000000000002,24796.0,130.02,0.0209,0.134,0.74,0.951,0.263,6.4,78.9,29.0,2.15,0.321,2.1,0.47000000000000003,0.153,0.322,0.06230000000000001,7784.316856904599,0.8875800372623533,0
Lesotho,0.7759999999999999,2000.0,0.2681,2512.0,155.86,0.031400000000000004,0.016,0.7,1.209,0.102,65.7,53.7,544.0,0.41,0.16899999999999998,0.07,0.679,0.316,0.136,0.2341,1157.5351645063117,0.2858500669092086,0
Liberia,0.28,2000.0,0.33039999999999997,1386.0,223.13,0.0432,0.43100000000000005,0.8,0.851,0.11900000000000001,53.5,63.7,661.0,0.17,0.196,0.04,0.763,0.129,0.462,0.0281,621.8929536227153,0.5161500830198401,0
Libya,0.087,0.0,0.1883,50564.0,125.71,0.022400000000000003,0.001,0.11,1.09,0.605,10.2,72.7,72.0,1.88,0.36700000000000005,2.09,0.49700000000000005,0.16573964497041424,0.326,0.1856,7683.750611291677,0.8039300020125557,0
Lithuania,0.47200000000000003,34000.0,0.1,12963.0,118.38,0.0163,0.348,1.16,1.0390000000000001,0.7240000000000001,3.3,75.7,8.0,2.41,0.321,6.35,0.616,0.16899999999999998,0.42600000000000005,0.0635,19455.45412660343,0.6785500013635496,1
Luxembourg,0.537,2000.0,0.10300000000000001,8988.0,115.09,0.013700000000000002,0.35700000000000004,1.19,1.023,0.192,1.9,82.1,5.0,13.05,0.106,3.01,0.593,0.265,0.204,0.0536,110172.37314087298,0.8761862853406508,1
Madagascar,0.7120000000000001,22000.0,0.32659999999999995,3905.0,184.33,0.0408,0.214,1.11,1.425,0.054000000000000006,38.2,66.7,335.0,0.21,0.217,0.18,0.861,0.102,0.383,0.0176,522.219809244635,0.37860998801341095,0
Malawi,0.614,15000.0,0.3412,1298.0,418.34,0.0421,0.332,1.15,1.425,0.008,35.3,63.8,349.0,0.12,0.11,0.04,0.767,0.17300000000000001,0.34500000000000003,0.0565,411.5523404231106,0.17173999947500496,0
