"Date","Price","Open","High","Low","Vol.","Change %"
"07/15/2021","1,141.59","1,144.36","1,148.31","1,138.93","","-0.23%"
"07/14/2021","1,144.22","1,150.11","1,152.27","1,142.63","","-0.50%"
"07/13/2021","1,149.94","1,147.18","1,152.90","1,141.21","","0.27%"
"07/12/2021","1,146.85","1,145.31","1,150.06","1,144.18","","0.27%"
"07/09/2021","1,143.73","1,146.81","1,150.52","1,143.18","","-0.25%"
"07/08/2021","1,146.59","1,141.65","1,151.69","1,139.55","","0.45%"
"07/07/2021","1,141.50","1,136.93","1,144.27","1,135.03","","0.42%"
"07/06/2021","1,136.75","1,130.59","1,139.97","1,129.03","","0.56%"
"07/05/2021","1,130.42","1,130.77","1,132.72","1,128.13","","-0.01%"
"07/02/2021","1,130.53","1,134.51","1,138.60","1,129.60","","-0.33%"
"07/01/2021","1,134.33","1,130.63","1,135.98","1,128.28","","0.34%"
"06/30/2021","1,130.48","1,131.80","1,132.89","1,125.59","","-0.10%"
"06/29/2021","1,131.62","1,130.21","1,134.77","1,127.65","","0.14%"
"06/28/2021","1,130.04","1,127.34","1,132.68","1,126.58","","0.26%"
"06/25/2021","1,127.12","1,131.87","1,133.10","1,124.10","","-0.32%"
"06/24/2021","1,130.78","1,136.03","1,138.69","1,129.97","","-0.45%"
"06/23/2021","1,135.85","1,133.73","1,138.63","1,131.17","","0.20%"
"06/22/2021","1,133.57","1,131.57","1,138.81","1,130.35","","0.19%"
"06/21/2021","1,131.40","1,135.24","1,139.47","1,130.91","","-0.31%"
"06/18/2021","1,134.94","1,134.47","1,138.14","1,128.06","","0.06%"
"06/17/2021","1,134.30","1,132.84","1,137.00","1,127.35","","0.14%"
"06/16/2021","1,132.68","1,118.09","1,137.17","1,115.74","","1.40%"
"06/15/2021","1,117.09","1,117.33","1,119.39","1,116.14","","0.07%"
"06/14/2021","1,116.33","1,116.55","1,120.05","1,114.45","","-0.01%"
"06/11/2021","1,116.40","1,112.56","1,118.54","1,109.25","","0.37%"
"06/10/2021","1,112.32","1,117.03","1,119.26","1,111.93","","-0.29%"
"06/09/2021","1,115.61","1,117.72","1,119.02","1,112.30","","-0.19%"
"06/08/2021","1,117.72","1,110.80","1,118.81","1,108.99","","0.64%"
"06/07/2021","1,110.62","1,110.68","1,114.53","1,109.07","","0.01%"
"06/04/2021","1,110.52","1,116.64","1,119.51","1,108.77","","-0.53%"
"06/03/2021","1,116.46","1,111.10","1,118.82","1,108.86","","0.50%"
"06/02/2021","1,110.92","1,108.49","1,114.81","1,106.78","","0.23%"
"06/01/2021","1,108.38","1,108.08","1,110.59","1,104.69","","0.16%"
"05/31/2021","1,106.58","1,113.83","1,117.42","1,106.50","","-0.58%"
"05/28/2021","1,113.08","1,118.72","1,119.35","1,112.86","","-0.49%"
"05/27/2021","1,118.55","1,116.79","1,120.32","1,115.07","","0.17%"
"05/26/2021","1,116.61","1,122.54","1,123.49","1,114.67","","-0.51%"
"05/25/2021","1,122.36","1,123.60","1,126.55","1,120.35","","-0.10%"
"05/24/2021","1,123.48","1,127.86","1,129.60","1,122.80","","-0.37%"
"05/21/2021","1,127.63","1,127.99","1,129.36","1,122.24","","0.00%"
"05/20/2021","1,127.66","1,131.35","1,134.41","1,127.17","","-0.31%"
"05/19/2021","1,131.18","1,127.07","1,133.31","1,124.60","","0.38%"
"05/18/2021","1,126.93","1,136.91","1,139.74","1,125.64","","-0.86%"
"05/17/2021","1,136.73","1,126.52","1,139.74","1,125.95","","0.97%"
"05/14/2021","1,125.79","1,126.89","1,131.31","1,125.23","","-0.08%"
"05/13/2021","1,126.73","1,132.92","1,136.13","1,126.17","","-0.53%"
"05/12/2021","1,132.73","1,119.67","1,133.94","1,118.74","","1.17%"
